MEMBER_ID,FIRST_NAME,LAST_NAME,PHONE_NUMBER,MEMBER_AGE,MEMBER_LANGUAGE,MEMBER_SEX,RACE_DESC
70628,Veronika,Funk,269-993-3665,72,,F,White
92492,Anibal,Muller,810-208-7983,87,,F,White
96525,Jolanda,Dickens,616-739-1626,59,,F,White
30839,Annika,DuBuque,517-306-6560,63,,F,N/A
66005,Collette,Runolfsson,810-292-8725,68,,M,N/A
87054,Divina,Robel,248-652-1915,52,,F,N/A
51969,Kayla,Effertz,906-637-8981,55,ENG,M,White
75324,Nicolette,Davis,616-754-1366,90,,M,White
43417,Diego,Rempel,313-537-3559,73,,M,White
67691,Yevette,Hackett,231-972-8082,82,,F,N/A
50953,Richie,Pouros,313-504-4269,79,,M,White
05847,Normand,Kohler,517-816-4496,89,,F,White
84581,Toby,Kihn,248-960-4257,67,,F,White
59848,Dustin,Greenholt,231-425-8374,81,,M,White
95937,Evelynn,Osinski,906-177-2184,56,,F,N/A
49071,Gail,Simonis,810-220-4269,72,,F,White
85638,Brian,Buckridge,517-302-8364,76,,M,White
26054,Myles,Schuster,947-146-7884,61,,F,N/A
81142,Patsy,Stokes,947-210-6472,56,,F,N/A
61880,Elois,Paucek,269-169-7217,90,,F,White
97251,Darius,Mosciski,906-731-2096,76,,M,White
62380,Guadalupe,Jakubowski,248-915-1259,65,,M,N/A
67592,Saturnina,Sipes,906-405-5431,51,ENG,M,White
61218,Jennell,Langosh,586-301-4380,79,,F,White
01483,Hung,Dach,269-113-6893,53,,M,N/A
